MeterID,Zone,ConsumerType,Date,EnergyConsymed_kwh,PeakUsage_kWh,OutageMinutes,MeterStatus,TariffRate
MTR1068,North,Residential,30-11-2025,259,9.2,7,Faulty,6.5
MTR1069,South,Industrial,02-11-2025,1429.5,50.7,6,Active,9.5
MTR1070,South,Residential,02-02-2025,185.7,5.4,6,Active,6.5
MTR1071,South,Residential,09-05-2025,309.4,11.4,10,Active,6.5
MTR1072,Central,Industrial,29-08-2025,1336.2,42.3,0,Active,9.5
MTR1073,Central,Residential,07-06-2025,294.5,10.9,3,Active,6.5
MTR1074,South,Residential,18-08-2025,210.8,8.1,11,Active,6.5
MTR1075,South,Residential,19-07-2025,282,8.1,0,Faulty,6.5
MTR1076,North,Commercial,24-10-2025,895.1,26.4,1,Active,8.2
MTR1077,South,Residential,06-10-2025,235.1,7.6,8,Active,6.5
MTR1078,North,Residential,23-04-2025,292.1,11.6,2,Active,6.5
MTR1079,North,Commercial,10-10-2025,805.6,23.9,0,Active,8.2
MTR1080,North,Industrial,06-01-2025,1791.2,64.2,19,Active,9.5
MTR1081,South,Commercial,20-03-2025,890,34.2,21,Active,8.2
MTR1082,South,Residential,18-09-2025,281.2,8.2,23,Active,6.5
MTR1083,North,Residential,13-06-2025,265.5,9.5,6,Active,6.5
MTR1084,Central,Commercial,06-03-2025,827.9,24.4,3,Active,8.2
MTR1085,Central,Residential,11-06-2025,287.3,8.7,5,Active,6.5
MTR1086,Central,Industrial,20-12-2025,1828.5,67.6,20,Active,9.5
MTR1087,Central,Residential,25-01-2025,347.5,10.8,20,Active,6.5
MTR1088,South,Residential,16-12-2025,277.7,8,1,Active,6.5
MTR1089,Central,Commercial,05-10-2025,788,26.8,1,Active,8.2
MTR1090,North,Commercial,23-06-2025,802.1,30,0,Active,8.2
MTR1091,Central,Commercial,20-10-2025,665.4,26.4,23,Active,8.2
MTR1092,Central,Residential,31-10-2025,239.3,9.1,1,Active,6.5
MTR1093,South,Commercial,16-10-2025,680.4,23.5,13,Active,8.2
MTR1094,North,Commercial,04-01-2025,859.4,32.1,6,Active,8.2
MTR1095,Central,Commercial,18-12-2025,779,24.8,16,Active,8.2
MTR1096,South,Commercial,18-12-2025,1062.9,35.7,12,Active,8.2
MTR1097,South,Commercial,14-10-2025,572.4,18.4,2,Active,8.2
MTR1098,Central,Commercial,27-11-2025,1103.4,40.6,0,Active,8.2
MTR1099,Central,Industrial,08-07-2025,1545.3,58.1,7,Active,9.5
MTR1100,North,Commercial,02-06-2025,959.8,30.1,3,Active,8.2
MTR1101,South,Residential,26-12-2025,248.5,7.8,17,Active,6.5
MTR1102,North,Residential,07-11-2025,209.1,6,12,Active,6.5
MTR1103,North,Residential,09-05-2025,272.5,9.3,7,Active,6.5
MTR1104,Central,Residential,11-09-2025,255.6,8,9,Active,6.5
MTR1105,South,Commercial,21-09-2025,725.9,21.7,20,Active,8.2
MTR1106,North,Industrial,16-02-2025,1661.7,50.2,7,Active,9.5
MTR1107,South,Industrial,12-02-2025,1583.9,45.8,14,Active,9.5
MTR1108,Central,Industrial,18-12-2025,2019,63.1,2,Active,9.5
MTR1109,North,Commercial,10-08-2025,933.3,32.2,7,Active,8.2
MTR1110,South,Residential,15-11-2025,284.1,8.3,11,Active,6.5
MTR1111,North,Commercial,04-11-2025,850.4,28,9,Active,8.2
MTR1112,Central,Commercial,23-05-2025,751.9,27.4,8,Active,8.2
MTR1113,North,Residential,28-09-2025,293,10,4,Faulty,6.5
MTR1114,Central,Industrial,05-05-2025,1307,39.2,4,Active,9.5
MTR1115,South,Residential,05-10-2025,189.6,7,3,Active,6.5
MTR1116,South,Industrial,17-08-2025,1353.8,41.1,29,Active,9.5
MTR1117,North,Industrial,02-07-2025,2030.3,67.9,9,Active,9.5
MTR1118,North,Industrial,16-07-2025,1528.2,56.5,3,Active,9.5
MTR1119,North,Residential,19-10-2025,206.3,6.4,12,Active,6.5
MTR1120,Central,Industrial,29-11-2025,1327.9,50.4,2,Active,9.5
MTR1121,Central,Commercial,12-08-2025,905.1,30.1,15,Active,8.2
MTR1122,Central,Commercial,01-01-2025,968.9,36.9,6,Active,8.2
MTR1123,South,Commercial,04-10-2025,815.5,28.1,10,Active,8.2
MTR1124,Central,Industrial,10-09-2025,1942.9,74.4,6,Active,9.5
MTR1125,South,Residential,13-10-2025,264.4,10.6,5,Active,6.5
MTR1126,Central,Industrial,19-09-2025,1479.9,54.8,3,Active,9.5
MTR1127,Central,Industrial,29-07-2025,1556.3,45.3,0,Active,9.5
MTR1128,South,Industrial,29-03-2025,1653.4,56.1,9,Active,9.5
MTR1129,North,Commercial,27-09-2025,824.2,32.9,6,Active,8.2
MTR1130,South,Commercial,22-06-2025,785.5,23.4,3,Active,8.2
MTR1131,Central,Industrial,04-02-2025,1328.7,44.4,2,Active,9.5
MTR1132,Central,Industrial,29-05-2025,1231.7,39.4,19,Active,9.5
MTR1133,Central,Residential,21-11-2025,293,8.9,19,Active,6.5
MTR1134,South,Residential,07-02-2025,240.1,7.2,1,Active,6.5
MTR1135,South,Commercial,29-12-2025,762.7,26.2,5,Active,8.2
MTR1136,South,Residential,25-08-2025,225.5,6.8,2,Active,6.5
MTR1137,South,Industrial,24-01-2025,1748.4,63.1,15,Active,9.5
MTR1138,Central,Commercial,05-02-2025,1017.3,35.6,2,Active,8.2
MTR1139,North,Residential,17-09-2025,207.8,6.5,0,Active,6.5
MTR1140,North,Commercial,22-11-2025,464.8,14.6,1,Active,8.2
MTR1141,North,Industrial,17-04-2025,2026.3,74,7,Active,9.5
MTR1142,North,Residential,24-12-2025,342,10.3,1,Active,6.5
MTR1143,South,Commercial,19-09-2025,870.3,28.5,11,Faulty,8.2
MTR1144,South,Industrial,12-10-2025,1623.4,58.6,12,Active,9.5
MTR1145,North,Commercial,15-10-2025,616.9,21.3,0,Active,8.2
MTR1146,South,Industrial,18-06-2025,1774.9,55.2,14,Active,9.5
MTR1147,Central,Industrial,06-05-2025,1517.6,45.4,6,Faulty,9.5
MTR1148,Central,Commercial,12-06-2025,834.2,24.3,0,Active,8.2
MTR1149,North,Commercial,08-04-2025,831.5,32.3,8,Active,8.2
MTR1150,Central,Commercial,25-10-2025,900.3,26.4,12,Active,8.2
MTR1151,Central,Commercial,24-08-2025,985.2,32.6,0,Active,8.2
MTR1152,North,Industrial,14-08-2025,1766.9,61.8,2,Active,9.5
MTR1153,North,Residential,16-04-2025,295.4,9.2,2,Active,6.5
MTR1154,North,Residential,23-07-2025,202.4,7.2,12,Active,6.5
MTR1155,North,Residential,29-01-2025,309.3,9.3,4,Faulty,6.5
MTR1156,North,Industrial,18-01-2025,1428,47.7,18,Active,9.5
MTR1157,Central,Industrial,15-08-2025,1503.7,52.9,6,Active,9.5
MTR1158,North,Industrial,21-12-2025,1613.4,60.4,40,Active,9.5
MTR1159,North,Commercial,19-08-2025,825.3,28.7,6,Active,8.2
MTR1160,North,Residential,26-05-2025,215.3,7.3,3,Active,6.5
MTR1161,North,Commercial,13-05-2025,809.7,28.6,0,Active,8.2
MTR1162,North,Residential,24-01-2025,279.7,11.1,0,Faulty,6.5
MTR1163,South,Commercial,16-07-2025,718.3,21.5,3,Active,8.2
MTR1164,North,Commercial,23-03-2025,850.1,25.2,9,Active,8.2
MTR1165,North,Residential,08-01-2025,291.4,10.1,1,Active,6.5
MTR1166,Central,Residential,17-10-2025,342.6,11.9,36,Active,6.5
MTR1167,South,Industrial,05-06-2025,1276.3,37.5,1,Faulty,9.5
MTR1168,North,Industrial,08-03-2025,1417.4,55.7,11,Active,9.5
MTR1169,North,Commercial,16-02-2025,694.3,25.8,4,Active,8.2
MTR1170,North,Industrial,23-05-2025,1602.9,50.3,1,Active,9.5
MTR1171,Central,Commercial,19-07-2025,716.6,25.3,12,Active,8.2
MTR1172,South,Industrial,22-11-2025,1847.2,67.3,3,Faulty,9.5
MTR1173,Central,Residential,29-06-2025,272.2,9.3,11,Active,6.5
MTR1174,Central,Industrial,01-02-2025,2266.8,66.6,25,Active,9.5
MTR1175,Central,Residential,31-12-2025,293,8.7,13,Active,6.5
MTR1176,Central,Residential,17-05-2025,286.2,8.8,2,Active,6.5
MTR1177,North,Commercial,01-04-2025,793.9,22.8,2,Active,8.2
MTR1178,North,Commercial,23-01-2025,783.7,30.7,0,Active,8.2
MTR1179,Central,Commercial,14-09-2025,704.3,24.5,8,Active,8.2
MTR1180,North,Residential,30-09-2025,284.8,11.2,11,Active,6.5
MTR1181,South,Industrial,17-08-2025,1810.3,71.7,3,Active,9.5
MTR1182,North,Commercial,16-06-2025,771.4,29.8,13,Faulty,8.2
MTR1183,South,Residential,14-05-2025,306.2,10.9,7,Active,6.5
MTR1184,South,Residential,14-12-2025,220.1,7.9,0,Active,6.5
MTR1185,North,Industrial,13-10-2025,1576.5,58.3,11,Active,9.5
MTR1186,Central,Commercial,27-10-2025,974.2,32.7,4,Active,8.2
MTR1187,South,Industrial,14-10-2025,1464,45.5,4,Active,9.5
MTR1188,Central,Industrial,02-10-2025,1048.6,41.4,13,Active,9.5
MTR1189,South,Industrial,22-03-2025,1134.9,42,4,Active,9.5
MTR1190,South,Residential,29-07-2025,242.3,8.5,7,Active,6.5
MTR1191,North,Commercial,30-11-2025,838.8,27.6,0,Active,8.2
MTR1192,South,Commercial,20-05-2025,786.8,27.8,24,Active,8.2
MTR1193,Central,Residential,27-09-2025,260.3,9.9,18,Active,6.5
MTR1194,Central,Commercial,17-06-2025,779.8,25.4,1,Active,8.2
MTR1195,South,Commercial,21-08-2025,779.1,22.8,7,Active,8.2
MTR1196,South,Residential,24-10-2025,300.4,9.1,19,Active,6.5
MTR1197,Central,Commercial,22-10-2025,910.4,27.2,4,Active,8.2
MTR1198,North,Industrial,21-10-2025,1445.7,44.5,1,Active,9.5
MTR1199,Central,Commercial,26-07-2025,735.5,26.2,13,Active,8.2
MTR1200,South,Industrial,17-09-2025,1501.3,56.3,13,Active,9.5
MTR1201,Central,Residential,16-10-2025,233.1,8.9,2,Active,6.5
MTR1202,South,Industrial,14-11-2025,1172.5,46,19,Active,9.5
MTR1203,Central,Industrial,17-05-2025,1677.5,52.2,3,Active,9.5
MTR1204,North,Industrial,20-10-2025,1713.3,56.6,22,Faulty,9.5
MTR1205,North,Residential,26-11-2025,148.7,4.5,0,Active,6.5
MTR1206,South,Residential,30-10-2025,283.4,9.9,0,Active,6.5
MTR1207,Central,Commercial,23-04-2025,838.9,24.7,5,Active,8.2
MTR1208,North,Commercial,20-08-2025,902.4,28.4,6,Active,8.2
MTR1209,North,Commercial,07-02-2025,750.4,22.6,9,Active,8.2
MTR1210,South,Commercial,14-04-2025,1056.5,42.1,2,Active,8.2
MTR1211,South,Industrial,07-09-2025,1427.2,55.4,0,Active,9.5
MTR1212,Central,Industrial,27-10-2025,1213.7,41.5,5,Active,9.5
MTR1213,South,Residential,08-04-2025,288.6,8.3,19,Active,6.5
MTR1214,Central,Residential,04-10-2025,198.4,7.6,3,Active,6.5
MTR1215,Central,Commercial,06-10-2025,746.3,23.7,21,Active,8.2
MTR1216,South,Industrial,30-07-2025,1574.5,51.8,3,Active,9.5
MTR1217,Central,Commercial,05-11-2025,778.9,24.9,1,Active,8.2
MTR1218,South,Residential,17-09-2025,202.9,6.9,13,Active,6.5
MTR1219,North,Commercial,22-11-2025,1012.2,40.3,1,Active,8.2
MTR1220,Central,Industrial,19-01-2025,1375.2,47.9,6,Active,9.5
MTR1221,Central,Industrial,10-01-2025,1774.8,52.2,3,Active,9.5
MTR1222,North,Commercial,18-05-2025,795.8,26.8,5,Active,8.2
MTR1223,South,Industrial,04-09-2025,2064.3,63.2,1,Active,9.5
MTR1224,North,Commercial,01-07-2025,844.1,31.9,29,Active,8.2
MTR1225,North,Commercial,08-07-2025,947.9,28.2,18,Active,8.2
MTR1226,South,Commercial,13-05-2025,749.3,21.8,0,Active,8.2
MTR1227,South,Industrial,21-05-2025,1619,55.2,0,Active,9.5
MTR1228,South,Residential,09-09-2025,174.3,5.1,29,Active,6.5
MTR1229,South,Residential,02-02-2025,226.8,8.6,1,Active,6.5
MTR1230,North,Industrial,14-01-2025,1699.4,65.3,8,Active,9.5
MTR1231,North,Commercial,29-11-2025,932.5,28.9,5,Active,8.2
MTR1232,North,Commercial,10-11-2025,1011.2,29.3,5,Faulty,8.2
MTR1233,North,Industrial,05-08-2025,1586.7,55.7,4,Active,9.5
MTR1234,North,Industrial,11-10-2025,1428.9,44.9,33,Active,9.5
MTR1235,Central,Residential,16-05-2025,304.6,9.6,1,Active,6.5
MTR1236,Central,Residential,20-04-2025,272.4,8.6,11,Active,6.5
MTR1237,South,Residential,09-12-2025,176.2,6,4,Active,6.5
MTR1238,South,Commercial,01-03-2025,755,24.3,5,Active,8.2
MTR1239,North,Commercial,11-11-2025,710,20.8,8,Active,8.2
MTR1240,Central,Commercial,02-08-2025,742.5,22.9,0,Active,8.2
MTR1241,Central,Commercial,10-09-2025,842,26.9,5,Active,8.2
MTR1242,North,Industrial,22-06-2025,1865.9,55.5,4,Active,9.5
MTR1243,Central,Industrial,27-06-2025,1845.5,53.9,19,Active,9.5
MTR1244,South,Residential,04-10-2025,305.9,9.8,14,Active,6.5
MTR1245,North,Residential,18-09-2025,258,9.3,8,Active,6.5
MTR1246,South,Residential,08-03-2025,292.4,10.6,2,Active,6.5
MTR1247,Central,Industrial,30-01-2025,1993.7,65.7,6,Active,9.5
MTR1248,North,Commercial,19-05-2025,660.8,23.8,15,Active,8.2
MTR1249,South,Commercial,20-04-2025,962,32.1,1,Active,8.2
MTR1250,North,Commercial,01-04-2025,697.8,22.5,11,Active,8.2
MTR1251,Central,Industrial,19-08-2025,1820.2,60,4,Faulty,9.5
MTR1252,South,Industrial,20-12-2025,1482.9,56.3,1,Active,9.5
MTR1253,North,Commercial,15-11-2025,934.2,31.2,11,Active,8.2
MTR1254,North,Residential,24-12-2025,304,11,10,Active,6.5
MTR1255,Central,Industrial,26-01-2025,1401.6,45.8,2,Active,9.5
MTR1256,North,Industrial,13-04-2025,1462.4,48.7,1,Active,9.5
MTR1257,South,Commercial,17-06-2025,728.7,29.1,3,Faulty,8.2
MTR1258,South,Industrial,23-04-2025,1829.9,70.8,0,Active,9.5
MTR1259,Central,Industrial,24-06-2025,1733.9,62.6,2,Active,9.5
MTR1260,South,Residential,04-03-2025,278,9.8,2,Active,6.5
MTR1261,South,Residential,15-12-2025,330.6,10.8,14,Active,6.5
MTR1262,North,Industrial,22-02-2025,1771,63.3,9,Active,9.5
MTR1263,Central,Residential,05-07-2025,255.2,10.1,5,Active,6.5
MTR1264,South,Commercial,23-11-2025,749.7,23.5,4,Active,8.2
MTR1265,South,Commercial,05-01-2025,742.5,24.6,4,Active,8.2
MTR1266,North,Commercial,25-11-2025,854.1,26.5,1,Active,8.2
MTR1267,South,Commercial,16-02-2025,716.6,22.5,8,Active,8.2
MTR1268,Central,Commercial,16-10-2025,707.9,24.3,7,Active,8.2
MTR1269,South,Residential,20-11-2025,287,10.2,11,Active,6.5
MTR1270,Central,Industrial,26-02-2025,1863.5,69.7,2,Active,9.5
MTR1271,South,Commercial,07-10-2025,1004.6,39.9,10,Active,8.2
MTR1272,Central,Commercial,31-08-2025,787.4,30,12,Active,8.2
MTR1273,Central,Commercial,05-02-2025,875.6,27.8,0,Active,8.2
MTR1274,Central,Industrial,17-09-2025,1508.7,47.4,4,Faulty,9.5
MTR1275,South,Commercial,16-12-2025,854.2,32.5,2,Faulty,8.2
MTR1276,Central,Residential,13-12-2025,281.2,8.3,5,Active,6.5
MTR1277,South,Commercial,30-05-2025,531.5,20,1,Active,8.2
MTR1278,South,Commercial,27-07-2025,593.7,22.7,3,Active,8.2
MTR1279,South,Commercial,08-12-2025,806.9,25.3,0,Active,8.2
MTR1280,North,Industrial,05-01-2025,1543,45.1,33,Active,9.5
MTR1281,South,Industrial,15-10-2025,1641.6,47.7,1,Active,9.5
MTR1282,North,Commercial,03-11-2025,732.3,23,12,Active,8.2
MTR1283,South,Commercial,27-07-2025,810.8,26.1,1,Faulty,8.2
MTR1284,South,Residential,27-11-2025,327.8,10.2,1,Faulty,6.5
MTR1285,North,Residential,28-10-2025,267.9,10.1,6,Active,6.5
MTR1286,South,Industrial,19-05-2025,1752.5,53.4,10,Active,9.5
MTR1287,Central,Commercial,31-08-2025,709,21.4,1,Active,8.2
MTR1288,Central,Residential,24-02-2025,267.2,8.7,4,Active,6.5
MTR1289,North,Residential,21-01-2025,304.3,8.9,11,Active,6.5
MTR1290,Central,Commercial,10-05-2025,815.4,25.8,9,Active,8.2
MTR1291,North,Industrial,11-08-2025,1987.3,68.2,12,Active,9.5
MTR1292,South,Commercial,25-12-2025,956.7,34.9,11,Active,8.2
MTR1293,North,Residential,24-06-2025,235.8,7.4,7,Active,6.5
MTR1294,North,Industrial,26-11-2025,1956.6,62.6,0,Active,9.5
MTR1295,Central,Residential,26-10-2025,227.8,9,11,Active,6.5
MTR1296,South,Industrial,31-03-2025,1544.6,53.3,1,Active,9.5
MTR1297,North,Commercial,18-06-2025,845.9,26.8,1,Active,8.2
MTR1298,South,Industrial,30-08-2025,1750.5,61,6,Active,9.5
MTR1299,Central,Industrial,10-04-2025,1522.2,51.9,2,Active,9.5
MTR1300,North,Industrial,07-09-2025,1506.6,44,7,Active,9.5
MTR1301,North,Residential,12-07-2025,230.7,7.9,3,Active,6.5
MTR1302,Central,Residential,04-04-2025,170.9,5.8,14,Active,6.5
MTR1303,Central,Commercial,21-03-2025,596.1,22.5,4,Active,8.2
MTR1304,North,Commercial,10-01-2025,957.2,32.3,2,Active,8.2
MTR1305,Central,Industrial,27-04-2025,1345.9,44.3,5,Active,9.5
MTR1306,North,Industrial,08-05-2025,1822.5,52.3,16,Active,9.5
MTR1307,Central,Residential,25-06-2025,200.9,6.4,4,Faulty,6.5
MTR1308,Central,Industrial,24-03-2025,1551.1,58,8,Active,9.5
MTR1309,Central,Residential,07-08-2025,318.8,11.7,1,Faulty,6.5
MTR1310,Central,Industrial,08-04-2025,1787.7,55.9,7,Active,9.5
MTR1311,Central,Industrial,09-02-2025,1569.3,57.1,11,Active,9.5
MTR1312,North,Industrial,26-11-2025,1239.8,48.7,14,Active,9.5
MTR1313,North,Industrial,03-09-2025,2470.9,97.1,0,Active,9.5
MTR1314,North,Residential,09-06-2025,285.9,9.6,5,Active,6.5
MTR1315,North,Industrial,10-03-2025,1623.6,46.6,1,Active,9.5
MTR1316,South,Industrial,22-11-2025,1498.8,50.8,9,Active,9.5
MTR1317,South,Industrial,27-03-2025,1741.8,54.5,6,Active,9.5
MTR1318,North,Commercial,23-05-2025,817.1,28.6,14,Active,8.2
MTR1319,Central,Commercial,31-03-2025,861.6,26.3,0,Active,8.2
MTR1320,Central,Commercial,22-06-2025,844.7,24.6,0,Active,8.2
MTR1321,South,Commercial,16-07-2025,782.2,28.1,13,Active,8.2
MTR1322,North,Residential,10-05-2025,252.7,9.3,2,Faulty,6.5
MTR1323,Central,Industrial,13-11-2025,1842.2,68.3,12,Active,9.5
MTR1324,North,Industrial,13-03-2025,1355,44.4,21,Active,9.5
MTR1325,North,Residential,17-11-2025,257.3,7.5,18,Active,6.5
MTR1326,Central,Residential,16-01-2025,306.5,9.4,4,Active,6.5
MTR1327,Central,Residential,30-10-2025,258.9,8.4,9,Active,6.5
MTR1328,Central,Residential,04-05-2025,265.7,7.9,1,Active,6.5
MTR1329,North,Industrial,23-07-2025,1046.4,36.6,26,Active,9.5
MTR1330,North,Commercial,30-12-2025,728.5,27.6,1,Active,8.2
MTR1331,South,Residential,21-09-2025,247.6,7.4,0,Active,6.5
MTR1332,South,Residential,29-05-2025,280.4,8.5,12,Active,6.5
MTR1333,North,Industrial,10-07-2025,1976.3,60.7,5,Active,9.5
MTR1334,North,Residential,11-06-2025,286.5,10.8,12,Active,6.5
MTR1335,Central,Residential,27-02-2025,299.5,8.9,4,Active,6.5
MTR1336,North,Industrial,17-04-2025,1363.9,45.4,3,Active,9.5
MTR1337,Central,Residential,16-07-2025,279.8,8.9,1,Active,6.5
MTR1338,Central,Industrial,11-05-2025,1278.5,39.6,4,Active,9.5
MTR1339,North,Industrial,13-07-2025,1486.4,47,29,Active,9.5
MTR1340,North,Commercial,20-01-2025,638.3,20.3,15,Active,8.2
MTR1341,Central,Industrial,30-04-2025,1923.6,57.3,7,Active,9.5
MTR1342,Central,Commercial,24-07-2025,894.2,32.3,4,Active,8.2
MTR1343,North,Residential,14-10-2025,233.4,9.3,3,Active,6.5
MTR1344,South,Residential,21-07-2025,309,9.3,2,Active,6.5
MTR1345,South,Residential,18-02-2025,217.9,8.5,13,Active,6.5
MTR1346,South,Commercial,07-04-2025,847.2,24.5,5,Active,8.2
MTR1347,North,Industrial,17-07-2025,1198.7,39.7,15,Active,9.5
MTR1348,South,Industrial,28-10-2025,1794.9,51.6,4,Active,9.5
MTR1349,North,Commercial,27-01-2025,822.8,27.8,20,Active,8.2
MTR1350,North,Residential,27-05-2025,289.7,9.8,9,Active,6.5
MTR1351,North,Industrial,22-07-2025,1267.9,48.9,2,Active,9.5
MTR1352,Central,Industrial,27-11-2025,1591.4,56.8,22,Active,9.5
MTR1353,South,Commercial,26-01-2025,772.5,25.3,3,Active,8.2
MTR1354,South,Residential,07-08-2025,236.3,8.4,3,Active,6.5
MTR1355,North,Industrial,29-10-2025,1712.3,56,1,Active,9.5
MTR1356,North,Industrial,04-07-2025,1816.7,62.3,9,Active,9.5
MTR1357,North,Industrial,25-10-2025,1835.7,70.2,2,Active,9.5
MTR1358,North,Residential,20-06-2025,218.4,7.7,4,Active,6.5
MTR1359,Central,Residential,23-11-2025,289.3,10.1,3,Faulty,6.5
MTR1360,Central,Residential,04-10-2025,239.6,8.1,7,Active,6.5
MTR1361,Central,Residential,24-03-2025,253.3,7.4,9,Active,6.5
MTR1362,North,Industrial,17-03-2025,1946.6,63,1,Active,9.5
MTR1363,Central,Commercial,04-07-2025,944.8,27,1,Active,8.2
MTR1364,Central,Commercial,20-01-2025,928.3,28.9,1,Active,8.2
MTR1365,North,Commercial,23-07-2025,804.8,26.4,4,Active,8.2
MTR1366,Central,Residential,08-02-2025,255.7,8,1,Active,6.5
MTR1367,South,Commercial,12-02-2025,465.1,17.7,3,Active,8.2
MTR1368,Central,Commercial,01-05-2025,883.1,32.6,12,Active,8.2
MTR1369,South,Residential,20-09-2025,240.9,8.6,4,Active,6.5
MTR1370,North,Industrial,08-02-2025,1369.2,44.9,5,Active,9.5
MTR1371,South,Industrial,10-03-2025,1669.7,65.9,2,Active,9.5
MTR1372,Central,Residential,15-01-2025,276.4,7.9,8,Active,6.5
